status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
INFO,Info,frequency,PuzzlePieceVisibleEvent,,very rapid consecutive records (possible duplicates or multi-fire),707 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi090326-2.stratalog.logdata.json[1457] _id=6a9b187d485cab4c953fb40c ts=2026-09-04T19:14:04.5670000Z -> wenyi090326-2.stratalog.logdata.json[1456] _id=6a9b187d485cab4c953fb40e ts=2026-09-04T19:14:04.5670000Z; 0ms: wenyi090326-2.stratalog.logdata.json[1462] _id=6a9b187c485cab4c953fb402 ts=2026-09-04T19:14:04.1990000Z -> wenyi090326-2.stratalog.logdata.json[1461] _id=6a9b187c485cab4c953fb404 ts=2026-09-04T19:14:04.1990000Z; 0ms: wenyi090326-2.stratalog.logdata.json[1463] _id=6a9b187c485cab4c953fb400 ts=2026-09-04T19:14:04.1990000Z -> wenyi090326-2.stratalog.logdata.json[1462] _id=6a9b187c485cab4c953fb402 ts=2026-09-04T19:14:04.1990000Z,,
INFO,Info,frequency,Soil Key Puzzle,,unusually long gaps between records,"2 gap(s), longest 29m 43s",,29m 43s: wenyi090326-2.stratalog.logdata.json[4460] _id=6a9b0ae3485cab4c953f9a0c ts=2026-09-04T18:16:03.1700000Z -> wenyi090326-2.stratalog.logdata.json[3042] _id=6a9b11da485cab4c953fa79e ts=2026-09-04T18:45:46.7230000Z; 17m 36s: wenyi090326-2.stratalog.logdata.json[3029] _id=6a9b11e6485cab4c953fa7b8 ts=2026-09-04T18:45:58.8610000Z -> wenyi090326-2.stratalog.logdata.json[2351] _id=6a9b1606485cab4c953fad0c ts=2026-09-04T19:03:34.9490000Z,,
INFO,Info,frequency,TopographicMapEvent,,unusually long gaps between records,"2 gap(s), longest 18m 28s",,18m 28s: wenyi090326-2.stratalog.logdata.json[3472] _id=6a9b0f4c485cab4c953fa442 ts=2026-09-04T18:34:52.5940000Z -> wenyi090326-2.stratalog.logdata.json[2561] _id=6a9b13a0485cab4c953fab64 ts=2026-09-04T18:53:21.1560000Z; 10m 29s: wenyi090326-2.stratalog.logdata.json[3865] _id=6a9b0cd6485cab4c953f9f20 ts=2026-09-04T18:24:22.4260000Z -> wenyi090326-2.stratalog.logdata.json[3474] _id=6a9b0f4b485cab4c953fa43e ts=2026-09-04T18:34:51.9260000Z,,
INFO,Info,frequency,TopographicMapEvent,,very rapid consecutive records (possible duplicates or multi-fire),4 interval(s) ≤ 0.004s..0.033s shown,,4ms: wenyi090326-2.stratalog.logdata.json[4637] _id=6a9b092c485cab4c953f98aa ts=2026-09-04T18:08:45.0610000Z -> wenyi090326-2.stratalog.logdata.json[4633] _id=6a9b092d485cab4c953f98b2 ts=2026-09-04T18:08:45.0650000Z; 30ms: wenyi090326-2.stratalog.logdata.json[4638] _id=6a9b092c485cab4c953f98a8 ts=2026-09-04T18:08:45.0310000Z -> wenyi090326-2.stratalog.logdata.json[4637] _id=6a9b092c485cab4c953f98aa ts=2026-09-04T18:08:45.0610000Z; 33ms: wenyi090326-2.stratalog.logdata.json[4536] _id=6a9b09cb485cab4c953f9974 ts=2026-09-04T18:11:23.6710000Z -> wenyi090326-2.stratalog.logdata.json[4534] _id=6a9b09cb485cab4c953f9978 ts=2026-09-04T18:11:23.7040000Z,,
INFO,Info,frequency,argumentationAnswerEvent,,unusually long gaps between records,"4 gap(s), longest 38m 47s",,38m 47s: wenyi090326-2.stratalog.logdata.json[1224] _id=6a9b1a29485cab4c953fb5de ts=2026-09-04T19:21:13.3040000Z -> wenyi090326-2.stratalog.logdata.json[263] _id=6a9b2340485cab4c953fc30e ts=2026-09-04T20:00:00.4630000Z; 38m 14s: wenyi090326-2.stratalog.logdata.json[3126] _id=6a9b1132485cab4c953fa6f6 ts=2026-09-04T18:42:58.9420000Z -> wenyi090326-2.stratalog.logdata.json[1224] _id=6a9b1a29485cab4c953fb5de ts=2026-09-04T19:21:13.3040000Z; 31m 21s: wenyi090326-2.stratalog.logdata.json[5503] _id=6a9b06a8485cab4c953f91e2 ts=2026-09-04T17:58:00.9190000Z -> wenyi090326-2.stratalog.logdata.json[3603] _id=6a9b0e02485cab4c953fa2c4 ts=2026-09-04T18:29:22.7850000Z,,
INFO,Info,frequency,argumentationEvent,,unusually long gaps between records,"4 gap(s), longest 38m 22s",,38m 22s: wenyi090326-2.stratalog.logdata.json[1219] _id=6a9b1a29485cab4c953fb5e6 ts=2026-09-04T19:21:13.3390000Z -> wenyi090326-2.stratalog.logdata.json[293] _id=6a9b2328485cab4c953fc2d0 ts=2026-09-04T19:59:36.1860000Z; 35m 21s: wenyi090326-2.stratalog.logdata.json[3121] _id=6a9b1132485cab4c953fa6fe ts=2026-09-04T18:42:58.9760000Z -> wenyi090326-2.stratalog.logdata.json[1286] _id=6a9b197c485cab4c953fb562 ts=2026-09-04T19:18:20.4210000Z; 30m 29s: wenyi090326-2.stratalog.logdata.json[5502] _id=6a9b06a8485cab4c953f91e4 ts=2026-09-04T17:58:00.9220000Z -> wenyi090326-2.stratalog.logdata.json[3636] _id=6a9b0dce485cab4c953fa228 ts=2026-09-04T18:28:30.3610000Z,,
INFO,Info,frequency,argumentationEvent,,very rapid consecutive records (possible duplicates or multi-fire),2 interval(s) ≤ 0.031s..0.032s shown,,31ms: wenyi090326-2.stratalog.logdata.json[3125] _id=6a9b1132485cab4c953fa6f8 ts=2026-09-04T18:42:58.9450000Z -> wenyi090326-2.stratalog.logdata.json[3121] _id=6a9b1132485cab4c953fa6fe ts=2026-09-04T18:42:58.9760000Z; 32ms: wenyi090326-2.stratalog.logdata.json[1223] _id=6a9b1a29485cab4c953fb5e0 ts=2026-09-04T19:21:13.3070000Z -> wenyi090326-2.stratalog.logdata.json[1219] _id=6a9b1a29485cab4c953fb5e6 ts=2026-09-04T19:21:13.3390000Z,,
INFO,Info,frequency,argumentationNodeEvent,,unusually long gaps between records,"4 gap(s), longest 38m 29s",,38m 29s: wenyi090326-2.stratalog.logdata.json[1226] _id=6a9b1a26485cab4c953fb5da ts=2026-09-04T19:21:10.8690000Z -> wenyi090326-2.stratalog.logdata.json[285] _id=6a9b232b485cab4c953fc2e2 ts=2026-09-04T19:59:39.8870000Z; 35m 28s: wenyi090326-2.stratalog.logdata.json[3130] _id=6a9b112f485cab4c953fa6ee ts=2026-09-04T18:42:55.4060000Z -> wenyi090326-2.stratalog.logdata.json[1282] _id=6a9b197f485cab4c953fb56a ts=2026-09-04T19:18:24.0230000Z; 21m 36s: wenyi090326-2.stratalog.logdata.json[5506] _id=6a9b06a6485cab4c953f91d8 ts=2026-09-04T17:57:59.0850000Z -> wenyi090326-2.stratalog.logdata.json[3999] _id=6a9b0bb7485cab4c953f9dc8 ts=2026-09-04T18:19:35.7210000Z,,
INFO,Info,frequency,argumentationNodeEvent,,very rapid consecutive records (possible duplicates or multi-fire),30 interval(s) ≤ 0.031s..0.032s shown,,31ms: wenyi090326-2.stratalog.logdata.json[5532] _id=6a9b068d485cab4c953f9166 ts=2026-09-04T17:57:33.2750000Z -> wenyi090326-2.stratalog.logdata.json[5531] _id=6a9b068d485cab4c953f9168 ts=2026-09-04T17:57:33.3060000Z; 31ms: wenyi090326-2.stratalog.logdata.json[5543] _id=6a9b0688485cab4c953f9128 ts=2026-09-04T17:57:28.3050000Z -> wenyi090326-2.stratalog.logdata.json[5542] _id=6a9b0688485cab4c953f912a ts=2026-09-04T17:57:28.3360000Z; 32ms: wenyi090326-2.stratalog.logdata.json[1266] _id=6a9b19c8485cab4c953fb58a ts=2026-09-04T19:19:36.8250000Z -> wenyi090326-2.stratalog.logdata.json[1265] _id=6a9b19c8485cab4c953fb58c ts=2026-09-04T19:19:36.8570000Z,,
INFO,Info,frequency,argumentationToolEvent,,unusually long gaps between records,"3 gap(s), longest 1h 16m",,1h 16m: wenyi090326-2.stratalog.logdata.json[3127] _id=6a9b1132485cab4c953fa6f4 ts=2026-09-04T18:42:58.4410000Z -> wenyi090326-2.stratalog.logdata.json[290] _id=6a9b2329485cab4c953fc2d6 ts=2026-09-04T19:59:37.2560000Z; 31m 12s: wenyi090326-2.stratalog.logdata.json[5504] _id=6a9b06a8485cab4c953f91dc ts=2026-09-04T17:58:00.4520000Z -> wenyi090326-2.stratalog.logdata.json[3616] _id=6a9b0df8485cab4c953fa2a2 ts=2026-09-04T18:29:12.6140000Z; 12m 5s: wenyi090326-2.stratalog.logdata.json[3613] _id=6a9b0dfa485cab4c953fa2a8 ts=2026-09-04T18:29:14.8480000Z -> wenyi090326-2.stratalog.logdata.json[3163] _id=6a9b10d0485cab4c953fa6ac ts=2026-09-04T18:41:20.7940000Z,,
INFO,Info,frequency,chatEvent,,unusually long gaps between records,"1 gap(s), longest 1h 7m",,1h 7m: wenyi090326-2.stratalog.logdata.json[4003] _id=6a9b0bb5485cab4c953f9dc0 ts=2026-09-04T18:19:33.2550000Z -> wenyi090326-2.stratalog.logdata.json[908] _id=6a9b1b97485cab4c953fb858 ts=2026-09-04T19:27:19.2840000Z,,
INFO,Info,frequency,chatEvent,,very rapid consecutive records (possible duplicates or multi-fire),1 interval(s) ≤ 0.001s..0.001s shown,,1ms: wenyi090326-2.stratalog.logdata.json[4017] _id=6a9b0bb1485cab4c953f9da4 ts=2026-09-04T18:19:29.6870000Z -> wenyi090326-2.stratalog.logdata.json[4016] _id=6a9b0bb1485cab4c953f9da6 ts=2026-09-04T18:19:29.6880000Z,,
INFO,Info,frequency,gameStartEvent,,unusually long gaps between records,"5 gap(s), longest 31m 7s",,31m 7s: wenyi090326-2.stratalog.logdata.json[5419] _id=6a9b0777485cab4c953f928e ts=2026-09-04T18:01:27.1580000Z -> wenyi090326-2.stratalog.logdata.json[3524] _id=6a9b0ec2485cab4c953fa3da ts=2026-09-04T18:32:35.1500000Z; 20m 44s: wenyi090326-2.stratalog.logdata.json[2117] _id=6a9b16b7485cab4c953faee2 ts=2026-09-04T19:06:32.2080000Z -> wenyi090326-2.stratalog.logdata.json[909] _id=6a9b1b94485cab4c953fb856 ts=2026-09-04T19:27:16.9830000Z; 14m 2s: wenyi090326-2.stratalog.logdata.json[5833] _id=6a9b042c485cab4c953f8586 ts=2026-09-04T17:47:25.0870000Z -> wenyi090326-2.stratalog.logdata.json[5419] _id=6a9b0777485cab4c953f928e ts=2026-09-04T18:01:27.1580000Z,,
INFO,Info,frequency,gameWindowFocusEvent,,unusually long gaps between records,"5 gap(s), longest 29m 37s",,29m 37s: wenyi090326-2.stratalog.logdata.json[4506] _id=6a9b0a90485cab4c953f99b0 ts=2026-09-04T18:14:40.7290000Z -> wenyi090326-2.stratalog.logdata.json[3081] _id=6a9b1182485cab4c953fa750 ts=2026-09-04T18:44:18.5230000Z; 24m 22s: wenyi090326-2.stratalog.logdata.json[2121] _id=6a9b168d485cab4c953faed8 ts=2026-09-04T19:05:49.2440000Z -> wenyi090326-2.stratalog.logdata.json[693] _id=6a9b1c43485cab4c953fba06 ts=2026-09-04T19:30:11.9480000Z; 19m 22s: wenyi090326-2.stratalog.logdata.json[5598] _id=6a9b0605485cab4c953f8f8a ts=2026-09-04T17:55:17.9300000Z -> wenyi090326-2.stratalog.logdata.json[4506] _id=6a9b0a90485cab4c953f99b0 ts=2026-09-04T18:14:40.7290000Z,,
INFO,Info,frequency,gameWindowUnfocusEvent,,unusually long gaps between records,"4 gap(s), longest 31m 55s",,31m 55s: wenyi090326-2.stratalog.logdata.json[4526] _id=6a9b09f6485cab4c953f9988 ts=2026-09-04T18:12:06.3390000Z -> wenyi090326-2.stratalog.logdata.json[3083] _id=6a9b1171485cab4c953fa74c ts=2026-09-04T18:44:01.7760000Z; 24m 33s: wenyi090326-2.stratalog.logdata.json[2123] _id=6a9b166d485cab4c953faed4 ts=2026-09-04T19:05:17.2600000Z -> wenyi090326-2.stratalog.logdata.json[696] _id=6a9b1c2e485cab4c953fba00 ts=2026-09-04T19:29:51.0870000Z; 17m 52s: wenyi090326-2.stratalog.logdata.json[374] _id=6a9b1f1a485cab4c953fbe00 ts=2026-09-04T19:42:19.1540000Z -> wenyi090326-2.stratalog.logdata.json[253] _id=6a9b234b485cab4c953fc322 ts=2026-09-04T20:00:12.0990000Z,,
INFO,Info,frequency,gameWindowUnfocusEvent,,very rapid consecutive records (possible duplicates or multi-fire),1 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi090326-2.stratalog.logdata.json[3023] _id=6a9b11f3485cab4c953fa7c6 ts=2026-09-04T18:46:11.6570000Z -> wenyi090326-2.stratalog.logdata.json[3022] _id=6a9b120b485cab4c953fa7c8 ts=2026-09-04T18:46:11.657Z,,
INFO,Info,frequency,questEvent,,unusually long gaps between records,"1 gap(s), longest 24m 58s",,24m 58s: wenyi090326-2.stratalog.logdata.json[424] _id=6a9b1d6e485cab4c953fbc20 ts=2026-09-04T19:35:10.4140000Z -> wenyi090326-2.stratalog.logdata.json[256] _id=6a9b2348485cab4c953fc31a ts=2026-09-04T20:00:08.8020000Z,,
INFO,Info,frequency,questEvent,,very rapid consecutive records (possible duplicates or multi-fire),12 interval(s) ≤ 0.000s..0.001s shown,,0ms: wenyi090326-2.stratalog.logdata.json[212] _id=6a9b237f485cab4c953fc372 ts=2026-09-04T20:01:03.4260000Z -> wenyi090326-2.stratalog.logdata.json[213] _id=6a9b237f485cab4c953fc374 ts=2026-09-04T20:01:03.4260000Z; 1ms: wenyi090326-2.stratalog.logdata.json[1654] _id=6a9b1800485cab4c953fb282 ts=2026-09-04T19:12:00.5240000Z -> wenyi090326-2.stratalog.logdata.json[1653] _id=6a9b1800485cab4c953fb284 ts=2026-09-04T19:12:00.5250000Z; 1ms: wenyi090326-2.stratalog.logdata.json[1767] _id=6a9b17b6485cab4c953fb1a0 ts=2026-09-04T19:10:46.4550000Z -> wenyi090326-2.stratalog.logdata.json[1766] _id=6a9b17b6485cab4c953fb1a2 ts=2026-09-04T19:10:46.4560000Z,,
INFO,Info,regression,,,scene name(s) not present in baseline,<missing sceneName>,"renamed scene, new content, or new coverage",,,
INFO,Info,regression,DEBUGMenu,,event type not present in baseline 08-31-26,6 records this build,new logging or newly exercised content — review,,,
INFO,Info,regression,DaniEvent,data.toolName,baseline categorical value(s) not seen this build,Argumentation; Map,may simply not have been exercised — review,,,
INFO,Info,regression,DaniEvent,data.toolName,categorical value(s) not seen in baseline,; Settings,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,InputEvent,data.actionType,categorical value(s) not seen in baseline,Pause; ToggleDebug,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,InputEvent,data.key,categorical value(s) not seen in baseline,backquote; tab,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,ObjectInterEvent,data.actionType,baseline categorical value(s) not seen this build,Press E to pick up,may simply not have been exercised — review,,,
INFO,Info,regression,ObjectInterEvent,data.actionType,categorical value(s) not seen in baseline,Press E to Insert; Press E to place,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,PuzzlePieceVisibleEvent,data.pieceId,categorical value(s) not seen in baseline,Evaporation Puzzle Piece A; Evaporation Puzzle Piece B; Evaporation Puzzle Piece C; Evaporation Puzzle Piece D; Evaporation Puzzle Slot A; Evaporation Puzzle Slot B; Evaporation Puzzle Slot C; Evaporation Puzzle Slot D,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,TerasGardenBox,data.actionType,baseline categorical value(s) not seen this build,soilSelected,may simply not have been exercised — review,,,
INFO,Info,regression,TerasGardenBox,data.actionType,categorical value(s) not seen in baseline,,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,TerasGardenBox,data.soilType,baseline categorical value(s) not seen this build,Gravel,may simply not have been exercised — review,,,
INFO,Info,regression,TopographicMapEvent,,field(s) not present in baseline schema,data.legendName,,,,
INFO,Info,regression,TopographicMapEvent,data.actionType,categorical value(s) not seen in baseline,Selected; Unselected,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,TopographicMapEvent,data.featureUsed,categorical value(s) not seen in baseline,Legend,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,WaterChamberEvent,data.floor,baseline categorical value(s) not seen this build,3,may simply not have been exercised — review,,,
INFO,Info,regression,WaterChamberEvent,data.machineNumber,baseline categorical value(s) not seen this build,Two,may simply not have been exercised — review,,,
INFO,Info,regression,WaterChamberEvent,data.machineType,baseline categorical value(s) not seen this build,DualChamber_Condenser,may simply not have been exercised — review,,,
INFO,Info,regression,WaterChamberEvent,data.room,baseline categorical value(s) not seen this build,4,may simply not have been exercised — review,,,
INFO,Info,regression,argumentationNodeEvent,data.actionType,baseline categorical value(s) not seen this build,argumentationNodeRemove,may simply not have been exercised — review,,,
INFO,Info,regression,chatEvent,,field(s) not present in baseline schema,data.actionKey,,,,
INFO,Info,regression,chatEvent,,record volume changed 16.0x vs baseline,32 records,2 in 08-31-26,"regression candidate: gameplay length, coverage, or logging-rate change",,
INFO,Info,regression,chatEvent,data.actionType,categorical value(s) not seen in baseline,Open; ScrollStart,"new design, renamed value, or new coverage — review",,,
INFO,Info,regression,chatEvent,data.chatID,categorical value(s) not seen in baseline,"[18-102, 18-103, 18-105, 18-109, 18-110, 18-274]; [18-109, 18-110, 18-274, 18-112, 18-113, 18-114]; [18-112, 18-113, 18-114, 18-276, 18-277]; [18-114, 18-276, 18-277, 18-279, 18-116, 18-117]; [18-243, 18-118, 74-21, 23-1, 23-2, 23-3]; [18-279, 18-116, 18-117, 18-243, 18-118, 74-21]; [22-19, 22-20, 22-22, 22-46, 22-48, 22-27]; [22-46, 22-48, 22-27, 18-102, 18-103, 18-105]; [23-1, 23-2, 23-3, 23-4, 23-59, 23-61]; [23-17, 23-18, 23-20, 23-21, 23-70, 23-72]; [23-21, 23-70, 23-72, 23-73, 23-22, 23-24]; [23-59, 23-61, 23-63, 23-65, 23-67, 23-68]; [23-65, 23-67, 23-68, 23-69, 23-17, 23-18]; [23-73, 23-22, 23-24, 23-25, 23-27]","new design, renamed value, or new coverage — review",,,
INFO,Info,regression,crash,,event type not present in baseline 08-31-26,3 records this build,new logging or newly exercised content — review,,,
INFO,Info,scenes,Soil Key Puzzle,,event observed in scene(s) not listed in the specification — specification review required,Unit 2 Prod (Refactor) (12 records),Unit 3 Dev; Unit 4 Dev,,,08-13-26/Investigation-results/soil-key-puzzle-investigation.md
PASS,Info,scenes,TerasGardenBox,,all observed scenes match the specification,Unit 4 Dev,,,,08-13-26/Investigation-results/tara-garden-box.md
PASS,Info,scenes,WaterChamberEvent,,all observed scenes match the specification,Unit 5 Dev - Dungeon,,,,08-13-26/Investigation-results/water-chamber-event-investigation.md
PASS,Info,scenes,soilMachine,,all observed scenes match the specification,Unit 4 Dev - Dungeon,,,,08-13-26/Investigation-results/soil-machine-investigation.md
PASS,Info,schema,DEBUGMenu,data.actionType,required field present in all records,6 of 6,,,,observed data
PASS,Info,schema,DEBUGMenu,data.isOpened,required field present in all records,6 of 6,,,,observed data
PASS,Info,schema,DaniEvent,data.actionType,required field present in all records,16 of 16,,,,08-13-26/Investigation-results/dani-event-investigation.md
PASS,Info,schema,DaniEvent,data.toolName,required field present in all records,16 of 16,,,,08-13-26/Investigation-results/dani-event-investigation.md
PASS,Info,schema,DialogueEvent,data.conversationId,required field present in all records,1737 of 1737,,,,observed data (dialogue-event PDF not machine-readable)
PASS,Info,schema,DialogueEvent,data.dialogueEventType,required field present in all records,1737 of 1737,,,,observed data (dialogue-event PDF not machine-readable)
PASS,Info,schema,DialogueEvent,data.nodeId,conditional field present when dialogueEventType='DialogueNodeEvent',1117 applicable records,,,,observed data (dialogue-event PDF not machine-readable)
PASS,Info,schema,EndOfUnit,data.Unit,required field present in all records,5 of 5,,,,observed data
PASS,Info,schema,InputEvent,data.Value,required field present in all records,1630 of 1630,,,,observed data (input-event PDF not machine-readable)
PASS,Info,schema,InputEvent,data.actionType,required field present in all records,1630 of 1630,,,,observed data (input-event PDF not machine-readable)
PASS,Info,schema,InputEvent,data.key,required field present in all records,1630 of 1630,,,,observed data (input-event PDF not machine-readable)
PASS,Info,schema,InputEvent,data.playerOrDrone,required field present in all records,1630 of 1630,,,,observed data (input-event PDF not machine-readable)
PASS,Info,schema,ObjectInterEvent,data.actionType,required field present in all records,178 of 178,,,,08-13-26/Investigation-results/objectinter-event-investigation.md
PASS,Info,schema,ObjectInterEvent,data.objectName,required field present in all records,178 of 178,,,,08-13-26/Investigation-results/objectinter-event-investigation.md
PASS,Info,schema,PlayerPositionEvent,data.position.x,required field present in all records,638 of 638,,,,08-13-26/Investigation-results/position-event-investigation.md
PASS,Info,schema,PlayerPositionEvent,data.position.y,required field present in all records,638 of 638,,,,08-13-26/Investigation-results/position-event-investigation.md
PASS,Info,schema,PlayerPositionEvent,data.position.z,required field present in all records,638 of 638,,,,08-13-26/Investigation-results/position-event-investigation.md
PASS,Info,schema,PuzzlePieceVisibleEvent,data.actionType,required field present in all records,1182 of 1182,,,,08-13-26/Investigation-results/puzzle-piece-visible-event.md
PASS,Info,schema,PuzzlePieceVisibleEvent,data.pieceId,required field present in all records,1182 of 1182,,,,08-13-26/Investigation-results/puzzle-piece-visible-event.md
PASS,Info,schema,PuzzlePieceVisibleEvent,data.timestamp,required field present in all records,1182 of 1182,,,,08-13-26/Investigation-results/puzzle-piece-visible-event.md
PASS,Info,schema,Soil Key Puzzle,data.Unit,"conditional field present when Soil Key Puzzle Status=['Started', 'Finished']",8 applicable records,,,,08-13-26/Investigation-results/soil-key-puzzle-investigation.md
PASS,Info,schema,Soil Key Puzzle,data.currentSoilType,"conditional field present when actionType=['LeftDrag', 'RightDrag']",28 applicable records,,,,08-13-26/Investigation-results/soil-key-puzzle-investigation.md
PASS,Info,schema,Soil Key Puzzle,data.isCorrectSelection,"conditional field present when actionType=['LeftDrag', 'RightDrag']",28 applicable records,,,,08-13-26/Investigation-results/soil-key-puzzle-investigation.md
PASS,Info,schema,Soil Key Puzzle,data.waterLevelStatus,"conditional field present when actionType=['LeftDrag', 'RightDrag']",28 applicable records,,,,08-13-26/Investigation-results/soil-key-puzzle-investigation.md
PASS,Info,schema,Soil Key Puzzle,data.waterRetentionChange,"conditional field present when actionType=['LeftDrag', 'RightDrag']",28 applicable records,,,,08-13-26/Investigation-results/soil-key-puzzle-investigation.md
PASS,Info,schema,SolarStillDesignEvent,data.actionType,required field present in all records,4 of 4,,,,observed data 08-25-26 (first appearance; no written spec yet)
PASS,Info,schema,SolarStillDesignEvent,data.designSelections,conditional field present when actionType='DesignSubmitted',1 applicable records,,,,observed data 08-25-26 (first appearance; no written spec yet)
PASS,Info,schema,SolarStillDesignEvent,data.featureUsed,required field present in all records,4 of 4,,,,observed data 08-25-26 (first appearance; no written spec yet)
PASS,Info,schema,SolarStillDesignEvent,data.selectedOption,conditional field present when actionType='optionSelected',3 applicable records,,,,observed data 08-25-26 (first appearance; no written spec yet)
PASS,Info,schema,TerasGardenBox,data.actionType,required field present in all records,8 of 8,,,,08-13-26/Investigation-results/tara-garden-box.md
PASS,Info,schema,TerasGardenBox,data.boxId,conditional field present when actionType='cameraPlaced',4 applicable records,,,,08-13-26/Investigation-results/tara-garden-box.md
PASS,Info,schema,TerasGardenBox,data.soilType,required field present in all records,8 of 8,,,,08-13-26/Investigation-results/tara-garden-box.md
PASS,Info,schema,TopographicMapEvent,data.actionType,required field present in all records,44 of 44,,,,08-13-26/Investigation-results/topographic-map-event-investigation.md
PASS,Info,schema,TopographicMapEvent,data.featureUsed,required field present in all records,44 of 44,,,,08-13-26/Investigation-results/topographic-map-event-investigation.md
INFO,Info,schema,TopographicMapEvent,data.legendName,field present in only part of the records,3 of 44 records contain data.legendName,declare as conditional/optional in config if intended,,wenyi090326-2.stratalog.logdata.json[5303] _id=6a9b07eb485cab4c953f9326 ts=2026-09-04T18:03:23.2910000Z | wenyi090326-2.stratalog.logdata.json[5297] _id=6a9b07f2485cab4c953f9332 ts=2026-09-04T18:03:30.1930000Z | wenyi090326-2.stratalog.logdata.json[4641] _id=6a9b0922485cab4c953f98a2 ts=2026-09-04T18:08:34.7230000Z,
PASS,Info,schema,WaterChamberEvent,data.actionType,required field present in all records,12 of 12,,,,08-13-26/Investigation-results/water-chamber-event-investigation.md
PASS,Info,schema,WaterChamberEvent,data.floor,required field present in all records,12 of 12,,,,08-13-26/Investigation-results/water-chamber-event-investigation.md
PASS,Info,schema,WaterChamberEvent,data.machineNumber,required field present in all records,12 of 12,,,,08-13-26/Investigation-results/water-chamber-event-investigation.md
PASS,Info,schema,WaterChamberEvent,data.machineType,required field present in all records,12 of 12,,,,08-13-26/Investigation-results/water-chamber-event-investigation.md
PASS,Info,schema,WaterChamberEvent,data.room,required field present in all records,12 of 12,,,,08-13-26/Investigation-results/water-chamber-event-investigation.md
PASS,Info,schema,argumentationAnswerEvent,data.actionType,required field present in all records,6 of 6,,,,08-13-26/Investigation-results/argumentation-answer-event-investigation.md
PASS,Info,schema,argumentationAnswerEvent,data.answerSubmitted,required field present in all records,6 of 6,,,,08-13-26/Investigation-results/argumentation-answer-event-investigation.md
PASS,Info,schema,argumentationAnswerEvent,data.argumentationTitle,required field present in all records,6 of 6,,,,08-13-26/Investigation-results/argumentation-answer-event-investigation.md
PASS,Info,schema,argumentationEvent,data.actionType,required field present in all records,14 of 14,,,,08-13-26/Investigation-results/argumentation-event-investigation.md
PASS,Info,schema,argumentationEvent,data.argumentationDescription,required field present in all records,14 of 14,,,,08-13-26/Investigation-results/argumentation-event-investigation.md
PASS,Info,schema,argumentationEvent,data.argumentationTitle,required field present in all records,14 of 14,,,,08-13-26/Investigation-results/argumentation-event-investigation.md
PASS,Info,schema,argumentationNodeEvent,data.actionType,required field present in all records,133 of 133,,,,08-13-26/Investigation-results/argumentation-node-event-investigation.md
PASS,Info,schema,argumentationNodeEvent,data.argumentationTitle,required field present in all records,133 of 133,,,,08-13-26/Investigation-results/argumentation-node-event-investigation.md
PASS,Info,schema,argumentationNodeEvent,data.nodeName,required field present in all records,133 of 133,,,,08-13-26/Investigation-results/argumentation-node-event-investigation.md
PASS,Info,schema,argumentationToolEvent,data.actionType,required field present in all records,19 of 19,,,,08-13-26/Investigation-results/argumentation-tool-event-investigation.md
PASS,Info,schema,argumentationToolEvent,data.argumentationTitle,required field present in all records,19 of 19,,,,08-13-26/Investigation-results/argumentation-tool-event-investigation.md
PASS,Info,schema,argumentationToolEvent,data.toolName,required field present in all records,19 of 19,,,,08-13-26/Investigation-results/argumentation-tool-event-investigation.md
PASS,Info,schema,chatEvent,data.chatID,required field present in all records,32 of 32,,,,08-13-26/Investigation-results/chat-event-investigation.md
PASS,Info,schema,questEvent,data.questEventType,required field present in all records,69 of 69,,,,08-13-26/Investigation-results/quest-event-investigation.md
PASS,Info,schema,questEvent,data.questID,required field present in all records,69 of 69,,,,08-13-26/Investigation-results/quest-event-investigation.md
PASS,Info,schema,questEvent,data.questName,required field present in all records,69 of 69,,,,08-13-26/Investigation-results/quest-event-investigation.md
PASS,Info,schema,questEvent,data.questSuccessOrFailure,conditional field present when questEventType='questFinishEvent',32 applicable records,,,,08-13-26/Investigation-results/quest-event-investigation.md
PASS,Info,schema,questEvent,eventKey,eventKey matches its documented format,69 records checked,{data.questEventType}:{data.questID},,,08-13-26/Investigation-results/quest-event-investigation.md
PASS,Info,schema,soilMachine,data.actionType,required field present in all records,5 of 5,,,,08-13-26/Investigation-results/soil-machine-investigation.md
PASS,Info,schema,soilMachine,data.canisterType,required field present in all records,5 of 5,,,,08-13-26/Investigation-results/soil-machine-investigation.md
PASS,Info,schema,soilMachine,data.floor,required field present in all records,5 of 5,,,,08-13-26/Investigation-results/soil-machine-investigation.md
PASS,Info,schema,soilMachine,data.machine,required field present in all records,5 of 5,,,,08-13-26/Investigation-results/soil-machine-investigation.md
